player_id,position,team_id,first_name,last_name,height_feet,height_inches,weight_pounds
322,'G',6,'Donovan','Mitchell',6,3,215
324,'G',26,'Malik','Monk',6,3,200
328,'F',6,'Marcus','Morris',6,8,218
329,'F',7,'Markieff','Morris',6,9,245
330,'G',18,'Monte','Morris',6,2,183
334,'G',1,'Dejounte','Murray',6,5,180
335,'G',8,'Jamal','Murray',6,4,215
337,'F-C',21,'Mike','Muscala',6,10,240
338,'G',2,'Svi','Mykhailiuk',6,7,205
340,'F',19,'Larry','Nance Jr.',6,8,245
344,'F',6,'Georges','Niang',6,7,230
349,'C',24,'Jusuf','Nurkic',7,0,290
351,'F',24,'Royce','O''Neale',6,6,226
356,'G',24,'Josh','Okogie',6,4,213
358,'F',28,'Kelly','Olynyk',6,11,240
359,'F',27,'Cedi','Osman',6,7,230
360,'F',23,'Kelly','Oubre Jr.',6,7,203
367,'G',10,'Chris','Paul',6,0,175
368,'G',23,'Cameron','Payne',6,3,183
371,'F-C',13,'Mason','Plumlee',6,10,254
373,'C',28,'Jakob','Poeltl',7,0,260
375,'F',8,'Michael','Porter Jr.',6,10,218
377,'F',17,'Bobby','Portis',6,10,250
378,'F-C',2,'Kristaps','Porzingis',7,2,240
379,'F-C',7,'Dwight','Powell',6,10,240
380,'F-G',13,'Norman','Powell',6,4,215
383,'F',14,'Taurean','Prince',6,6,218
387,'F',20,'Julius','Randle',6,8,250
391,'G-F',16,'Josh','Richardson',6,5,200
397,'F',16,'Duncan','Robinson',6,7,215
398,'G',10,'Jerome','Robinson',6,5,190
399,'C',20,'Mitchell','Robinson',7,0,240
401,'G',15,'Derrick','Rose',6,3,200
403,'G',16,'Terry','Rozier',6,1,190
405,'G',14,'D''Angelo','Russell',6,3,193
406,'F',26,'Domantas','Sabonis',6,10,240
407,'F',10,'Dario','Saric',6,10,225
409,'G',3,'Dennis','Schroder',6,1,175
413,'G',29,'Collin','Sexton',6,3,190
414,'G',30,'Landry','Shamet',6,4,190
416,'F',12,'Pascal','Siakam',6,8,245
417,'G-F',3,'Ben','Simmons',6,10,240
419,'G',25,'Anfernee','Simons',6,3,193
420,'G',15,'Marcus','Smart',6,3,220
