'box_score_id','game_id','player_id','reb','ast','blk','stl','turnover','oreb','dreb','fg3_pct','fg3a','fg3m','fg_pct','fga','fgm','ft_pct','fta','ftm','min','pf'
14431342,1038364,38017716,21,2,1,4,0,1,1,1,0,0,2,0,0,2,0,1,2,2,09,1
14431343,1038364,3547272,21,10,1,1,0,0,2,0,1,'0.3333333',3,1,'0.6666667',6,4,1,1,1,13,2
14431344,1038364,3547271,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431345,1038364,56677833,21,8,2,1,1,0,0,0,2,'0.5',4,2,'0.6',5,3,0,0,0,16,0
14431346,1038364,27924547,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,02,0
14431347,1038363,3547276,2,3,3,1,0,0,1,1,2,'0.2',5,1,'0.1666667',6,1,0,0,0,15,3
14431348,1038364,17896078,21,5,1,0,1,1,1,0,1,'0.5',2,1,'0.5',4,2,0,0,0,15,1
14431349,1038364,38017706,21,6,1,2,0,0,0,0,1,'0.6666667',3,2,'0.6666667',3,2,0,0,0,16,1
14431350,1038364,480,21,0,2,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,10,0
14431351,1038363,17553967,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431352,1038364,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431353,1038363,56677864,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431354,1038363,38017707,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431355,1038363,64270311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431356,1038363,378,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431357,1038364,436846673,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431358,1038363,17896025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431359,1038363,3547285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431360,1038364,204,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431361,1038364,56677853,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431362,1038364,24572055,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431501,1038365,112,17,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,18,0
14431502,1038365,15,17,23,11,8,2,0,5,2,9,'0.5',2,1,'0.6111111',18,11,0,0,0,34,0
14431503,1038365,283,17,7,3,0,1,0,2,0,3,'0.1666667',6,1,'0.3333333',9,3,0,0,0,23,2
14431504,1038365,38,17,16,3,0,0,3,1,0,3,'0.5',8,4,'0.6',10,6,0,0,0,28,1
14431505,1038365,278,17,16,2,5,0,0,3,0,2,'0.2857143',7,2,'0.3571429',14,5,1,4,4,32,1
14431506,1038365,2148,17,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,08,1
